Artist,Title,ISRC,Spotify ID,Deezer ID,Youtube ID
O.C. Smith,Little Green Apples,USSM10107178,5VKdlRg4PXPh8H1cpGo16C,1029251,B6UJOb4oVfU
Jeannie C. Riley,Harper Valley PTA,DEBL61216124,0AGXcz16aYiVyBCRkplIg8,17062806,EHhDtwSZWYs
The Beatles,Hey Jude,GBAYE0601566,1eT2CjXwFXNx6oY5ydvzKU,126848613,bkApuQWCPdM
Bobby Goldsboro,Honey,USCN18800065,7KkmPCj7Eh9tCD7bF5H2yh,3104209,ZuuH2lnyizM
Simon & Garfunkel,Mrs. Robinson (Single Mix),USSM10026443,3CJ60azPXtva8OdBsxSA7a,13142408,9C1BCAgu2I8
Glen Campbell,Wichita Lineman,USCN10100759,6V9VCm1zOY2lGR80RehJ9i,3167207,Q8P_xTBpAcY
Joe South,Games People Play,USCA28800067,50t8gshcAtXiUdk7nHfYDp,3159158,vDeVonv3kY0
Henry Mancini,Romeo and Juliet (Love Theme),USRDG0112801,3YONvyf0FsWadbA8l9fzrH,1237539,GIWV7ReKYAk
"Blood, Sweat & Tears",Spinning Wheel (Single Version),USSM16800972,2Q9RPgKF1H2Uf2M9rjS6R6,848023,SFEewD4EVwU
Dionne Warwick,I'll Never Fall in Love Again,USWSP0000062,1MHgV79MSYE6ymNlGa3bRY,723120,tbBD_pDLv_o
B J Thomas,Raindrops Keep Falling On My Head,GBJUT1014431,7a9uRVfAZn74qHOFbQEiHN,14493488,hziG9Nr6KHU
The 5th Dimension,Aquarius / Let the Sunshine In (Remastered),USAR16900002,4z7TuXkZm79m9vkPklnuqu,1045837,06X5HYynP5E
Johnny Cash,"A Boy Named Sue (Live at San Quentin State Prison, San Quentin, CA - February 1969)",USSM10605606,4VkgY55sUbfszX3XjS3LxW,15436417,_Gbtm-93oqE
Peggy Lee,Is That All There Is? (Remastered),USCA29700368,1lfgMTtRomZmt8LKG1uFvg,3168733,3sWTnsemkIs
Simon & Garfunkel,Bridge Over Troubled Water,USSM16900808,6l8EbYRtQMgKOyc1gcDHF9,998966,H_a46WJ1viA
Ray Stevens,Everything Is Beautiful,NLG620401792,2uDqOhc5aV2rGbC4O9Oktw,10731724,vTfoY4g0GZM
James Taylor,Fire and Rain,USWB19900191,3LcYYV9ozePfgYYmXv0P3r,725235,N8u8tASPtwg
The Beatles,Let It Be,GBAYE0601713,7iN1s7xHE4ifF5povM6A48,116348656,HzvDofigTKQ
Carpenters,We've Only Just Begun,USAM17000368,7nXZCcFAy1oCKQG2SqLszv,1126585,8JgEptmz_eE
Carpenters,(They Long To Be) Close To You,USAM17000373,2kyVQg00pphEufGT59M2XH,2964244,tT86AoSGEL8
Carole King,You’ve Got A Friend,USHC41001680,4VARbg9JGQXxc3HBEv1Oy4,68945966,FdPAjKkU8u0
Kris Kristofferson,Help Me Make It Through the Night,USSM10303242,3detkaivjSPy5ZSRfCkTXK,531942,CksF7Kr7Drw
Perry Como,It's Impossible,USRC17004669,25kie23uR82ODVmfMQJOJ2,632295,tMMHCI44oYs
