Year,Artist,Track,USA,NON USA,Nom,Win,Youtube,M,F,D,I,Alternative rock,Big Band,Blues,Blues rock,Breakbeat,Chanson française,Church music,Classical,Concerto,Country,Country rock,Dance Pop,Disco,Dubstep,Easy Listening,EDM,Electronica,Electro Pop,Folk,Funk,Gospel,Hard rock,Hip Hop,Indie rock,Jazz,Latin Pop,Metal,New Wave,Pop,Pop Rock,R&B Nu Soul,Reggae,Reggaeton,Rock,Rock N Roll,Rock New Wave,Salsa - Afro Cuban,Samba Bossa,Soul,Soul Jazz,Speech,Swing,Traditional pop,Vocal jazz,World,,,,,,
1964,Jack Jones,Wives and Lovers,1,,x,,https://www.youtube.com/watch?v=rZ7WT02wFOk,1,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,"0,8","0,7",,,,,,,
1964,The Singing Nun,Dominique ,,1,x,,https://www.youtube.com/watch?v=wIG_GRebHO4,,1,,,,,,,,1,"0,3",,,,,,,,,,,,1,,"0,4",,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,
1964,Barbra Streisand,Happy Days Are Here Again ,1,,x,,https://www.youtube.com/watch?v=QLik_SdEm6Q,,1,,,,,,,,,,"0,4","0,4",,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,1,,,,,,,,
1965,Louis Armstrong,"Hello, Dolly! ",1,,,x,https://www.youtube.com/watch?v=XurWUn5_S_E,1,,,,,"0,7",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"0,4",,,,,,,,1,1,"0,9",,,,,,,
1965,The Beatles,A Hard Day's Night,,1,x,,https://www.youtube.com/watch?v=AMSiHdrHl0g,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",1,,,,"0,4","0,4",,,,,,,,,,,,,,,,
1965,Andy Williams,Dear Heart,1,,x,,https://www.youtube.com/watch?v=fo6J--x-M7s,1,,,,,,,,,,,"0,4","0,4",,,,,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
1965,Barbra Streisand,People,1,,x,,https://www.youtube.com/watch?v=D8L-lrqm1vk,,1,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,,,,,"0,6",,,,,,,,,,,,,,"0,9",,,,,,,,
1965,Tony Bennett,Who Can I Turn To?,1,,x,,https://www.youtube.com/watch?v=95dANDYwcms,1,,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
1965,Astrud Gilberto & Stan Getz,The Girl from Ipanema,1,1,,x,https://www.youtube.com/watch?v=8PYKOo_jgJo,,1,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,"0,9",,,,,,,,,,,,,1,,,,,,"0,4","0,2",,,,,,
1965,Petula Clark,Downtown ,,1,x,,https://www.youtube.com/watch?v=z_m4Qb0iW-o,,1,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,"0,4",,,,,,,,
1965,The Beatles,I Want to Hold Your Hand ,,1,x,,https://www.youtube.com/watch?v=v1HDt1tknTc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",1,,,,1,"0,3",,,,,,,,,,,,,,,,
1966,Tony Bennett,The Shadow of Your Smile,1,,,x,https://www.youtube.com/watch?v=mP2ZaQ7Wq24,1,,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
