,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
143,1t2Hq2WIBcZINOEnK6mdJG,0.547,0.693,0,-8.786,1,0.0353,9.24e-05,5.46e-05,0.113,0.583,119.567,239227
144,28IZUzBnFsBxyrgdsdlQPg,0.774,0.881,2,-4.681,1,0.0917,0.0107,0.0431,0.289,0.775,113.511,272387
145,3K01q0jtSNHeqx5gs97HH2,0.815,0.906,5,-3.194,0,0.0561,0.0116,2.06e-06,0.0691,0.783,125.974,196960
146,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
147,0bhnUFDQFCEHCBlsQfHnj5,0.825,0.487,1,-6.416,1,0.233,0.0299,0.0,0.0868,0.372,105.05,218954
148,2VdT56BGpdqNHUgOe1j5vc,0.599,0.571,2,-4.998,1,0.0665,0.198,0.0,0.0969,0.285,151.974,206453
149,0Y7di9ZCmB6Elad5WISaPc,0.879,0.662,2,-6.162,1,0.309,0.033,0.0,0.716,0.723,117.975,189909
150,0n8sO6vHx3SkVEn2pjaqV9,0.725,0.652,1,-10.017,1,0.05,0.0201,6.76e-05,0.108,0.355,117.946,331733
151,0IaMMHVbpJ0LrRAeigWOXr,0.359,0.287,0,-9.51,1,0.0303,0.882,0.00607,0.186,0.189,130.135,227133
152,5GorFaKkP2mLREQvhSblIg,0.629,0.511,1,-8.651,1,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,331240
153,6K8qKeWo5MsFED7wCR6Kop,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,235382
154,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
155,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
156,56ZrTFkANjeAMiS14njg4E,0.613,0.857,1,-5.492,0,0.0366,0.0012,0.0,0.358,0.664,124.987,182000
157,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
158,0lLMgROgXxjjwtg0VDo4oJ,0.421,0.356,9,-6.889,1,0.0286,0.883,0.0,0.288,0.514,98.393,133178
159,6IxbD3Vdv7AIYC11ABftOW,0.473,0.903,7,-6.123,1,0.0678,0.0145,1.23e-06,0.195,0.452,161.956,183120
160,69ghzc538EQSVon2Gm3wrr,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,229107
161,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
162,6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,278719
163,0Nw8hv79MLJa1yjtsEgz08,0.565,0.255,0,-10.152,1,0.0314,0.646,0.0,0.127,0.174,57.964,265307
164,1z9kQ14XBSN0r2v6fx4IdG,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147
165,5HGibWoxnkYSkl6mHmAlOE,0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,190187
166,2HB1jDQn9hCojKIr6Yfhze,0.453,0.146,2,-8.976,1,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905,229400
167,1JCCdiru7fhstOIF4N7WJC,0.572,0.499,2,-5.237,1,0.0311,0.0283,0.0,0.213,0.108,101.593,237248
168,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
169,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
170,3WeIrr3hdahKHaJHhu4RQ9,0.49,0.533,1,-12.59,1,0.044,0.319,0.0,0.248,0.705,136.02,207133
171,3XQXG7HWyIQt6NVzePJjOQ,0.581,0.835,6,-12.596,0,0.0414,0.0416,0.227,0.21,0.755,124.006,241867
172,1syhTK7LlvpeWdZNsZARP0,0.8,0.712,1,-9.472,0,0.0419,0.291,0.0,0.145,0.667,123.211,180360
173,59BDRwvPlSeld9KjFnFhKN,0.393,0.789,2,-6.764,1,0.0393,0.508,8.57e-06,0.329,0.607,136.606,140760
174,3AWY0qfZkOuROo7SHh003L,0.819,0.582,7,-5.533,0,0.118,0.0607,0.0,0.148,0.635,104.607,284467
175,1RJ4vjgb8jz7BkFdnCbLa3,0.641,0.663,7,-10.475,1,0.0288,0.207,0.00011,0.0952,0.878,124.584,199880
