Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Justin Bieber,"['Boyfriend' 'Sorry' 'One Less Lonely Girl' 'Die In Your Arms'
 'All That Matters' 'Company' 'One Time' 'Recovery' 'Purpose'
 'Roller Coaster' 'All Bad' 'Bad Day' 'Love Yourself' 'Change Me'
 'Mistletoe' 'Never Let You Go' 'Favorite Girl' 'Hold Tight' 'Love Me'
 'Mark My Words' ""I'll Show You"" 'Nothing Like Us' 'Born To Be Somebody'
 'Children' 'Been You' 'Life Is Worth Living' 'Heartbreaker'
 'Down To Earth' 'Get Used To It' 'Pray' 'That Should Be Me' 'Bigger'
 'As Long As You Love Me (Acoustic)' 'Trust'
 ""Turn To You (Mother's Day Dedication)"" 'U Smile' 'What Do You Mean?']",37,268,2009,2016,8,8,6,58,78,False
One Direction,"['Best Song Ever' 'Story Of My Life' 'Perfect' 'Diana' 'Steal My Girl'
 'One Thing' 'One Way Or Another (Teenage Kicks)' ""Live While We're Young""
 'Drag Me Down' 'Midnight Memories' 'Little Things' 'Infinity'
 'Night Changes' 'Ready To Run' 'History' 'If I Could Fly' 'Olivia'
 'Kiss You' 'Strong' '18' 'A.M.' 'Temporary Fix' 'Home' 'Never Enough'
 'Rock Me' 'Stockholm Syndrome' 'You & I' 'Where Do Broken Hearts Go'
 'What Makes You Beautiful']",29,279,2012,2016,5,5,0,6,24,False
Major Lazer Featuring Justin Bieber & MO,['Cold Water'],1,27,2016,2017,2,2,0,11,14,True
Post Malone Featuring 21 Savage,['Rockstar'],1,40,2017,2018,2,2,8,21,24,True
Post Malone Featuring Ty Dolla Sign,['Psycho'],1,39,2018,2018,1,1,1,17,21,True
Shawn Mendes & Camila Cabello,['Senorita' 'I Know What You Did Last Summer'],2,46,2015,2019,3,5,1,21,23,False
Bobby Darin,"['Splish Splash' '18 Yellow Roses' 'Artificial Flowers' 'Queen Of The Hop'
 'Mack The Knife' 'Clementine' 'Somebody To Love' 'Plain Jane'
 'Beyond The Sea' 'Baby Face' ""I'll Be There"" 'Mame'
 'If I Were A Carpenter' 'Long Line Rider' 'Nature Boy' 'Hello, Dolly!'
 'Multiplication' ""Lovin' You"" 'Dream Lover' 'If A Man Answers'
 'I Found A New Baby' 'Milord' 'Happy' 'Lazy River' 'Irresistible You'
 'The Girl That Stood Beside Me' 'The Lady Came From Baltimore'
 'Christmas Auld Lang Syne' 'Be Mad Little Girl' 'Darling Be Home Soon'
 'Child Of God' 'The Things In This House' 'Things'
 ""I Wonder Who's Kissing Her Now"" 'Beachcomber'
 ""Won't You Come Home Bill Bailey"" 'You Must Have Been A Beautiful Baby'
 ""You're The Reason I'm Living"" 'Treat My Baby Good'
 ""What'd I Say (Part 1)""]",40,336,1958,1973,12,16,9,27,55,False
Barenaked Ladies,"['One Week' 'Pinch Me' 'Brian Wilson' 'Another Postcard (Chimps)'
 ""It's All Been Done"" 'The Old Apartment' 'Too Little Too Late']",7,98,1997,2004,7,8,1,7,9,False
Lil Wayne Featuring Drake,['She Will' 'Right Above It' 'Believe Me' 'Gonorrhea'],4,68,2010,2014,4,5,0,1,2,True
Maroon 5 Featuring Wiz Khalifa,['Payphone'],1,31,2012,2012,1,1,0,17,19,True
Eminem,"['Berzerk' 'Rap God' 'Beautiful' 'Survival' '3am' 'Superman'
 'Sing For The Moment' 'Stepping Stone' 'Phenomenal'
 ""Cleanin' Out My Closet"" 'Not Afraid' 'Killshot' 'Cold Wind Blows' 'Fall'
 'Kamikaze' 'Just Lose It' 'Greatest' 'Normal' 'Lose Yourself'
 'Ass Like That' 'Like Toy Soldiers' 'Elevator' 'Mockingbird' 'My Name Is'
 'Music Box' 'Insane' '25 To Life' 'The Real Slim Shady' 'The Ringer'
 'The Way I Am' 'Infinite' ""When I'm Gone"" 'Without Me' 'Untouchable'
 'Venom' 'We Made You']",36,342,1999,2018,15,20,13,32,65,False
Ariana Grande Featuring Iggy Azalea,['Problem'],1,25,2014,2014,1,1,0,14,16,True
Clay Aiken,['Solitaire' 'Invisible' 'This Is The Night'],3,44,2003,2004,2,2,2,4,5,False
