Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
M/A/R/R/S,['Pump Up The Volume'],1,23,1987,1988,2,2,0,0,0,False
Keri Hilson,['Pretty Girl Rock' 'Energy'],2,31,2008,2011,3,4,0,0,0,False
Fabolous Featuring Nate Dogg,"[""Can't Deny It""]",1,20,2001,2001,1,1,0,0,0,True
Travis Tritt,"['Best Of Intentions' 'Modern Day Bonnie And Clyde' 'Love Of A Woman'
 ""It's A Great Day To Be Alive"" 'If I Lost You']",5,84,1998,2002,4,5,0,0,0,False
Yung Berg Featuring Junior,['Sexy Lady'],1,20,2007,2007,1,1,0,0,0,True
Men Without Hats,['Pop Goes The World' 'I Like' 'The Safety Dance'],3,48,1983,1988,3,6,0,4,7,False
Westlife,['Swear It Again'],1,20,2000,2000,1,1,0,0,0,False
Field Mob,['Sick Of Being Lonely'],1,20,2002,2003,2,2,0,0,0,False
Roberta Flack With Maxi Priest,['Set The Night To Music'],1,20,1991,1992,2,2,0,0,3,False
Tinashe Featuring ScHoolboy Q,['2 On'],1,24,2014,2014,1,1,0,0,0,True
Meek Mill Featuring Chris Brown & Nicki Minaj,['All Eyes On You'],1,20,2015,2015,1,1,0,0,0,True
Lolita,"['Sailor (Your Home Is The Sea)'
 'Cowboy Jimmy Joe (Die Sterne Der Prarie)']",2,21,1960,1961,2,2,0,1,4,False
The Watts 103rd Street Rhythm Band,"['Do Your Thing' ""Spreadin' Honey"" 'Till You Get Enough']",3,32,1967,1969,2,3,0,0,0,False
Jessie J Featuring B.o.B,['Price Tag'],1,20,2011,2011,1,1,0,0,0,True
Citizen King,['Better Days (And The Bottom Drops Out)'],1,20,1999,1999,1,1,0,0,0,False
CaSh Out,"[""Cashin' Out"" 'She Twerkin']",2,23,2012,2014,2,3,0,0,0,False
Gavin DeGraw,"['Chariot' ""I Don't Want To Be"" 'Best I Ever Had' 'Not Over You'
 'In Love With A Girl' 'We Belong Together']",6,114,2004,2013,7,10,0,0,2,False
Hurricane Chris,['A Bay Bay'],1,20,2007,2007,1,1,0,0,7,False
Benjamin Orr,['Stay The Night'],1,20,1986,1987,2,2,0,0,0,False
Cali Swag District,['Teach Me How To Dougie'],1,20,2010,2010,1,1,0,0,0,False
Ugly Kid Joe,"[""Cat's In The Cradle"" 'Everything About You']",2,40,1992,1993,2,2,0,0,8,False
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",['All The Way Up'],1,20,2016,2016,1,1,0,0,0,True
H-Town,"['A Thin Line Between Love & Hate (From ""A Thin Line..."")' 'Lick U Up'
 ""Knockin' Da Boots"" 'Emotions' 'They Like It Slow']",5,91,1993,1998,5,6,0,10,12,False
Phil Phillips With The Twilights,['Sea Of Love'],1,18,1959,1959,1,1,0,5,6,False
Midnight Oil,['Beds Are Burning' 'Blue Sky Mine' 'The Dead Heart'],3,42,1988,1990,2,3,0,0,0,False
L.A. Guns,"['The Ballad Of Jayne' ""It's Over Now""]",2,33,1990,1992,2,3,0,0,0,False
Puff Daddy Featuring R. Kelly,['Satisfy You'],1,20,1999,2000,2,2,0,3,6,True
The Tommy Dorsey Orchestra,['Tea For Two Cha Cha'],1,20,1958,1959,2,2,0,0,6,False
The KLF,['3 A.M. Eternal' 'What Time Is Love?'],2,31,1991,1992,2,2,0,1,5,False
Mike Jones,['Back Then' 'Next To You' 'Mr. Jones'],3,31,2005,2009,3,5,0,0,0,False
Ty Dolla Sign Featuring B.o.B,['Paranoid'],1,20,2014,2014,1,1,0,0,0,True
Lillywood & Robin Schulz,['Prayer In C'],1,20,2014,2015,2,2,0,0,0,False
Ludacris Featuring Sleepy Brown,['Saturday (Oooh! Ooooh!)'],1,20,2002,2002,1,1,0,0,0,True
Wilton Place Street Band,['Disco Lucy (i Love Lucy Theme)'],1,17,1977,1977,1,1,0,0,0,False
Intro,['Come Inside' 'Funny How Time Flies'],2,23,1993,1995,3,3,0,0,0,False
Maurice Williams & The Zodiacs,['Stay' 'Come Along' 'I Remember'],3,23,1960,1961,2,2,1,3,5,False
Men At Large,['So Alone'],1,20,1993,1993,1,1,0,0,0,False
Megan Thee Stallion Featuring DaBaby,['Cash Shit'],1,20,2019,2019,1,1,0,0,0,True
Fatboy Slim,['Praise You' 'The Rockafeller Skank'],2,47,1998,2000,3,3,0,0,0,False
Sarah Vaughan,"['Broken-Hearted Melody' 'Eternally' 'Smooth Operator'
 ""A Lover's Concerto"" 'Serenata' 'Separate Ways' ""You're My Baby""]",7,51,1959,1966,3,8,0,0,4,False
Diddy Featuring Nicole Scherzinger,['Come To Me'],1,20,2006,2007,2,2,0,0,1,True
Vince Guaraldi Trio,['Cast Your Fate To The Wind'],1,18,1962,1963,2,2,0,0,0,False
Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,['Badd'],1,19,2005,2005,1,1,0,0,0,True
Michel'le,['Something In My Heart' 'No More Lies' 'Nicety'],3,67,1989,1991,3,3,0,0,3,False
Anita Bryant,"['Paper Roses' ""I Can't Do It By Myself""
 'In My Little Corner Of The World' 'Promise Me A Rose (A Slight Detail)'
 'Six Boys And Seven Girls' 'Do-Re-Mi' 'One Of The Lucky Ones'
 'A Texan And A Girl From Mexico' 'The World Of Lonely People'
 'Till There Was You' 'Wonderland By Night']",11,85,1959,1964,4,6,0,1,7,False
Radiohead,['Creep' 'Nude' 'High And Dry'],3,29,1993,2008,3,16,0,0,0,False
Kevon Edmonds,['24/7'],1,20,1999,2000,2,2,0,0,2,False
Jason Derulo Featuring Nicki Minaj & Ty Dolla Sign,['Swalla'],1,20,2017,2017,1,1,0,0,0,True
Lisa Keith,"['Better Than You' ""I'm In Love""]",2,23,1993,1994,2,2,0,0,0,False
Giuffria,['Call To The Heart' 'I Must Be Dreaming' 'Lonely In Love'],3,37,1984,1986,3,3,0,0,0,False
blackbear,['Do Re Mi' 'Hot Girl Bummer'],2,21,2017,2019,2,3,0,0,0,False
k.d. lang,['Constant Craving' 'Hallelujah (Vancouver Winter 2010 Version)'],2,20,1992,2010,2,19,0,0,0,False
BTS,['Fake Love' 'Make It Right' 'DNA'],3,11,2017,2019,3,3,0,0,1,False
Lil Wayne Featuring Travis Scott,['Let It Fly'],1,2,2018,2018,1,1,0,0,1,True
Chris Brown Featuring Lil Wayne & Busta Rhymes,['Look At Me Now'],1,27,2011,2011,1,1,0,0,10,True
Scotty McCreery,"['I Love You This Big' 'See You Tonight' 'The Trouble With Girls'
 'This Is It' ""Feelin' It"" 'Five More Minutes']",6,102,2011,2019,7,9,0,0,0,False
BTS Featuring Nicki Minaj,['IDOL'],1,3,2018,2018,1,1,0,0,0,True
"Megan Thee Stallion, Nicki Minaj & Ty Dolla Sign",['Hot Girl Summer'],1,16,2019,2019,1,1,0,0,0,False
Jimmy Clanton And His Rockets,['Just A Dream'],1,15,1958,1958,1,1,0,5,8,False
Gin Blossoms,"['Follow You Down/Til I Hear It From You' 'As Long As It Matters'
 'Found Out About You' 'Hey Jealousy']",4,110,1993,1996,3,4,0,0,8,False
Shawn Mullins,['Lullaby'],1,18,1998,1999,2,2,0,0,6,False
PSY,['Gentleman' 'Gangnam Style'],2,46,2012,2013,2,2,0,10,13,False
DJ Snake Featuring Justin Bieber,['Let Me Love You'],1,33,2016,2017,2,2,0,8,17,True
All Saints,"['Never Ever' ""I Know Where It's At""]",2,37,1998,1998,1,1,0,2,7,False
Lil Wayne Featuring T-Pain,['Got Money' 'How To Hate'],2,28,2008,2011,2,4,0,0,1,True
Madonna Featuring Nicki Minaj & M.I.A.,"[""Give Me All Your Luvin'""]",1,6,2012,2012,1,1,0,0,1,True
Pentatonix,"['Little Drummer Boy' 'Mary, Did You Know?' 'Hallelujah'
 ""Can't Sleep Love""]",4,22,2013,2017,5,5,0,0,0,False
Diana DeGarmo,['Dreams'],1,5,2004,2004,1,1,0,0,0,False
Kanye West Featuring T-Pain,['Good Life'],1,21,2007,2008,2,2,0,0,11,True
Usher Featuring will.i.am,['OMG'],1,30,2010,2010,1,1,4,12,17,True
"Nicki Minaj, Drake & Lil Wayne",['No Frauds'],1,7,2017,2017,1,1,0,0,0,False
Kendrick Lamar Featuring Rihanna,['Loyalty.'],1,26,2017,2017,1,1,0,0,0,True
"Migos, Nicki Minaj & Cardi B",['MotorSport'],1,21,2017,2018,2,2,0,0,6,False
Jerry Butler and The Impressions,['For Your Precious Love'],1,5,1958,1958,1,1,0,0,0,False
Hanson,['I Will Come To You' 'MMMBop' 'This Time Around'],3,49,1997,2000,3,4,3,11,14,False
Santana Featuring The Product G&B,['Maria Maria'],1,26,2000,2000,1,1,10,15,18,True
Drake Featuring Lil Wayne,['Miss Me' 'HYFR (Hell Ya F*****g Right)' 'The Motto' 'Used To'],4,77,2010,2015,4,6,0,0,0,True
Lil Baby & Gunna Featuring Drake,['Never Recover'],1,8,2018,2018,1,1,0,0,0,True
Lee Greenwood,"['God Bless The USA' 'I.o.u.' ""Somebody's Gonna Love You""]",3,30,1983,2002,3,20,0,0,0,False
Bad Meets Evil Featuring Bruno Mars,['Lighters'],1,22,2011,2011,1,1,0,4,10,True
Lil Wayne Featuring Bruno Mars,['Mirror'],1,17,2011,2012,2,2,0,0,0,True
Kanye West Featuring PARTYNEXTDOOR,"['Ghost Town' ""Wouldn't Leave""]",2,4,2018,2018,1,1,0,0,0,True
Post Malone Featuring DaBaby,['Enemies'],1,15,2019,2019,1,1,0,0,0,True
Jody Reynolds,['Endless Sleep' 'Fire Of Love'],2,11,1958,1958,1,1,0,0,0,False
Ashley Parker Angel,['Let U Go' 'Soundtrack To Your Life'],2,17,2006,2006,1,1,0,0,0,False
Zedd Featuring Selena Gomez,['I Want You To Know'],1,16,2015,2015,1,1,0,0,0,True
Britney Spears Featuring G-Eazy,['Make Me...'],1,9,2016,2016,1,1,0,0,0,True
Lil Dicky,['Earth'],1,6,2019,2019,1,1,0,0,0,False
The Elegants,['Little Star'],1,17,1958,1958,1,1,1,8,9,False
The Rembrandts,"[""I'll Be There For You/This House Is Not A Home"" 'Someone'
 'Just The Way It Is, Baby' 'Johnny Have You Seen Her?']",4,57,1991,1996,4,6,0,0,0,False
Lil Wayne Featuring Eminem,['Drop The World'],1,20,2010,2010,1,1,0,0,0,True
Jay Sean Featuring Lil Wayne,['Hit The Lights' 'Down'],2,42,2009,2011,3,3,2,12,24,True
Owl City & Carly Rae Jepsen,['Good Time'],1,24,2012,2012,1,1,0,0,7,False
Kanye West Featuring Cam'ron & Consequence,['Gone'],1,1,2013,2013,1,1,0,0,0,True
DJ Khaled Featuring Drake,['For Free' 'To The Max'],2,24,2016,2017,2,2,0,0,0,True
Kendrick Lamar Featuring Zacari,['Love.'],1,39,2017,2018,2,2,0,0,0,True
Doris Day,"['Everybody Loves A Lover' 'Anyway The Wind Blows' 'Lover Come Back'
 'Love Me In The Daytime' 'Tunnel Of Love']",5,29,1958,1962,4,5,0,0,0,False
Paula Cole,"[""I Don't Want To Wait"" 'Where Have All The Cowboys Gone?']",2,77,1997,1998,2,2,0,0,6,False
Daft Punk Featuring Pharrell Williams,['Get Lucky'],1,29,2013,2013,1,1,0,12,15,True
Maejor Ali Featuring Juicy J & Justin Bieber,['Lolly'],1,4,2013,2014,2,2,0,0,0,True
John Lennon Plastic Ono Band,['Imagine'],1,9,1971,1971,1,1,0,3,6,False
"Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",['Make It Hot'],1,23,1998,1998,1,1,0,3,6,True
Silkk The Shocker Featuring Mystikal,"[""It Ain't My Fault 1 & 2""]",1,18,1999,1999,1,1,0,0,0,True
Dia Frampton,['Inventing Shadows' 'Losing My Religion' 'Heartless'],3,7,2011,2011,1,1,0,0,0,False
Michael Jackson & Justin Timberlake,['Love Never Felt So Good'],1,20,2014,2014,1,1,0,0,1,False
Justin Bieber + BloodPop,['Friends'],1,10,2017,2017,1,1,0,0,0,False
Johnny Cash And The Tennessee Two,"['Guess Things Happen That Way' ""Straight A's In Love""
 ""It's Just About Time"" ""I Just Thought You'd Like To Know"" 'Katy Too'
 'Down The Street To 301' 'Come In Stranger' 'The Ways Of A Woman In Love']",8,40,1958,1960,3,3,0,0,0,False
The Game Featuring Lil Wayne,['My Life'],1,20,2008,2009,2,2,0,0,0,True
Far*East Movement Featuring Justin Bieber,['Live My Life'],1,1,2012,2012,1,1,0,0,0,True
Drake Featuring Majid Jordan,"[""Hold On, We're Going Home""]",1,33,2013,2014,2,2,0,5,13,True
"Artists Of Then, Now & Forever",['Forever Country'],1,4,2016,2016,1,1,0,0,0,False
G-Eazy & Halsey,['Him & I'],1,19,2017,2018,2,2,0,0,0,False
Cardi B Featuring Migos,['Drip'],1,10,2018,2018,1,1,0,0,0,True
DJ Khaled Featuring Nipsey Hussle & John Legend,['Higher'],1,2,2019,2019,1,1,0,0,0,True
R. Kelly Featuring Ronald Isley,['Down Low (Nobody Has To Know)'],1,20,1996,1996,1,1,0,4,11,True
Da Brat Featuring T-Boz,['Ghetto Love'],1,15,1997,1997,1,1,0,0,0,True
Wyclef Jean,['Gone Till November'],1,20,1998,1998,1,1,0,0,6,False
Kelly Price,"['Friend Of Mine' 'As We Lay' ""You Should've Told Me""]",3,48,1998,2001,3,4,0,0,0,False
Kid Cudi Featuring Kanye West,['Erase Me'],1,5,2010,2010,1,1,0,0,0,True
Eminem Featuring Sia,['Guts Over Fear' 'Beautiful Pain'],2,4,2013,2014,2,2,0,0,0,True
Big Sean Featuring Eminem,['No Favors'],1,3,2017,2017,1,1,0,0,0,True
Post Malone Featuring Meek Mill & Lil Baby,['On The Road'],1,4,2019,2019,1,1,0,0,0,True
Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,['Ghetto Supastar (That Is What You Are)'],1,21,1998,1998,1,1,0,0,0,False
Eminem Featuring Lil Wayne,['No Love'],1,20,2010,2011,2,2,0,0,0,True
Kanye West Jay Z,['H*A*M'],1,7,2011,2011,1,1,0,0,0,False
Cardi B Featuring SZA,['I Do'],1,5,2018,2018,1,1,0,0,0,True
B-Rock & The Bizz,['My Baby Daddy'],1,19,1997,1997,1,1,0,0,1,False
Lil Pump,['Esskeetit' 'Butterfly Doors' 'Gucci Gang' 'Drug Addicts'],4,38,2017,2019,3,3,0,5,8,False
Eminem Featuring Royce Da 5'9,['Not Alike'],1,3,2018,2018,1,1,0,0,0,True
Eminem Featuring Dr. Dre,"[""Old Time's Sake"" 'Hell Breaks Loose']",2,3,2009,2010,2,2,0,0,0,True
LSG,['My Body'],1,20,1997,1998,2,2,0,7,11,False
INOJ/LATHUN,['Love You Down'],1,20,1998,1998,1,1,0,0,0,False
Glee Cast Featuring Neil Patrick Harris,['Dream On'],1,2,2010,2010,1,1,0,0,0,True
Taio Cruz,['Dynamite'],1,47,2010,2011,2,2,0,10,18,False
Chris Brown Featuring Justin Bieber,['Next To You'],1,3,2011,2011,1,1,0,0,0,True
PSY Featuring Snoop Dogg,['Hangover'],1,1,2014,2014,1,1,0,0,0,True
Jimmy Fallon Featuring will.i.am,['EW!'],1,2,2014,2014,1,1,0,0,0,True
Future & Juice WRLD,['Fine China' 'Astronauts'],2,14,2018,2019,2,2,0,0,0,False
Master P Featuring Pimp C And The Shocker,['I Miss My Homies'],1,20,1997,1998,2,2,0,0,0,True
50 Cent Featuring Eminem & Adam Levine,['My Life'],1,3,2012,2012,1,1,0,0,0,True
Gesaffelstein & The Weeknd,['Lost In The Fire'],1,6,2019,2019,1,1,0,0,0,False
Coolio Featuring L.V.,"['Gangsta\'s Paradise (From ""Dangerous Minds"")']",1,38,1995,1996,2,2,3,20,22,True
Barbra Streisand & Bryan Adams,"['I Finally Found Someone (From ""The Mirror Has Two Faces"")']",1,20,1996,1997,2,2,0,0,5,False
BTS Featuring Desiigner,['MIC Drop'],1,9,2017,2018,2,2,0,0,0,True
The Four Lads,"['Enchanted Island' 'Happy Anniversary' 'The Fountain Of Youth'
 'The Girl On Page 44' 'The Mocking Bird']",5,34,1958,1959,2,2,0,0,0,False
Paul McCartney And Stevie Wonder,['Ebony And Ivory'],1,19,1982,1982,1,1,7,10,12,False
Mase,['Feel So Good' 'Welcome Back'],2,32,1997,2004,3,8,0,2,9,False
Usher And Alicia Keys,['My Boo'],1,26,2004,2005,2,2,6,13,19,False
Silk,"[""If You (Lovin' Me)"" 'Freak Me' 'Hooked On You' 'Meeting In My Bedroom'
 'Girl U For Me/Lose Control' 'Happy Days' ""Don't Rush""
 'I Can Go Deep (From ""A Low Down Dirty Shame"")']",8,118,1993,1999,5,7,2,15,16,False
Joe Jonas,['Gotta Find You' 'See No More'],2,4,2008,2011,2,4,0,0,0,False
Sean Kingston & Justin Bieber,['Eenie Meenie'],1,18,2010,2010,1,1,0,0,0,False
The Lonely Island Featuring Akon,['I Just Had Sex'],1,11,2011,2011,1,1,0,0,0,True
Meek Mill Featuring Cardi B,['On Me'],1,2,2018,2018,1,1,0,0,0,True
Supertramp Featuring Roger Hodgson,"[""It's Raining Again""]",1,13,1982,1983,2,2,0,0,0,True
Luther Vandross & Mariah Carey,['Endless Love'],1,20,1994,1995,2,2,0,6,9,False
Eve 6,"['Inside Out' ""Here's To The Night""]",2,34,1998,2001,3,4,0,0,0,False
Glee Cast Featuring Idina Menzel,['I Dreamed A Dream'],1,2,2010,2010,1,1,0,0,0,True
XXXTentacion,"['Jocelyn Flores' 'Everybody Dies In Their Nightmares' 'Revenge'
 'Look At Me!' 'Depression & Obsession' 'Save Me' 'Carry On']",7,36,2017,2017,1,1,0,0,0,False
Keith Sweat,"[""I'm Not Ready"" ""I'll Give All My Love To You"" ""Keep It Comin'""
 'I Want Her' 'How Do You Like It?' 'Make You Sweat'
 ""Something Just Ain't Right"" 'When I Give My Love' 'Why Me Baby?'
 'Your Love' 'Twisted']",11,184,1988,1999,8,12,0,13,26,False
Bad Meets Evil,['Fast Lane'],1,2,2011,2011,1,1,0,0,0,False
"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",['Not Tonight'],1,21,1997,1997,1,1,0,0,5,False
Mo Thugs Family Featuring Bone Thugs-N-Harmony,['Ghetto Cowboy'],1,20,1998,1999,2,2,0,0,0,True
Lil' Romeo,['My Baby'],1,14,2001,2001,1,1,0,2,5,False
Justin Bieber Featuring Jaden Smith,['Never Say Never'],1,19,2010,2011,2,2,0,0,1,True
Normani,['Motivation'],1,10,2019,2019,1,1,0,0,0,False
Kanye West Featuring Ty Dolla Sign & Ant Clemons,['Everything We Need'],1,1,2019,2019,1,1,0,0,0,True
Diddy - Dirty Money Featuring T.I.,['Hello Good Morning'],1,20,2010,2010,1,1,0,0,0,True
Craig Wayne Boyd,"[""My Baby's Got A Smile On Her Face"" 'I Walk The Line'
 'The Old Rugged Cross']",3,3,2014,2015,2,2,0,0,0,False
Gucci Mane Featuring Migos,['I Get The Bag'],1,26,2017,2018,2,2,0,0,0,True
Allure Featuring NAS,['Head Over Heels'],1,15,1997,1997,1,1,0,0,0,True
Young Jeezy Featuring Plies,['Lose My Mind'],1,15,2010,2010,1,1,0,0,0,True
Beyonce Featuring Kendrick Lamar,['Freedom'],1,2,2016,2016,1,1,0,0,0,True
Bruno Mars & Cardi B,['Finesse'],1,23,2018,2018,1,1,0,12,14,False
The Weeknd Featuring Gesaffelstein,['I Was Never There' 'Hurt You'],2,2,2018,2018,1,1,0,0,0,True
Gerry Granahan,"['No Chemise, Please']",1,3,1958,1958,1,1,0,0,0,False
Tim McGraw With Faith Hill,"[""It's Your Love"" 'I Need You']",2,36,1997,2007,2,11,0,0,6,False
"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",['Hot Boyz'],1,21,1999,2000,2,2,0,1,10,True
Lil Jon & The East Side Boyz Featuring Usher & Ludacris,['Lovers And Friends'],1,22,2004,2005,2,2,0,7,14,True
Lil Wayne Featuring Reginae Carter,['Famous'],1,1,2018,2018,1,1,0,0,0,True
Jeanne Black,"[""He'll Have To Stay"" 'Lisa' 'Oh, How I Miss You Tonight']",3,25,1960,1961,2,2,0,2,6,False
Michael Jackson With Siedah Garrett,"[""I Just Can't Stop Loving You""]",1,14,1987,1987,1,1,1,4,6,False
Keith Sweat Featuring Athena Cage,['Nobody'],1,35,1996,1997,2,2,0,11,18,True
Az Yet Featuring Peter Cetera,"[""Hard To Say I'm Sorry""]",1,34,1997,1997,1,1,0,0,5,True
Alicia Keys Featuring Nicki Minaj,['Girl On Fire'],1,30,2012,2013,2,2,0,0,0,True
James Taylor & J.D. Souther,['Her Town Too'],1,14,1981,1981,1,1,0,0,0,False
Selena,['Dreaming Of You'],1,20,1995,1996,2,2,0,0,0,False
Mase Featuring Puff Daddy,"[""Lookin' At Me""]",1,19,1998,1998,1,1,0,0,2,True
Flo Rida Featuring will.i.am,['In The Ayer'],1,21,2008,2008,1,1,0,0,1,True
T.I. Featuring Keri Hilson,['Got Your Back'],1,20,2010,2010,1,1,0,0,0,True
"Kanye West, Big Sean, Pusha T, 2 Chainz",['Mercy'],1,32,2012,2012,1,1,0,0,0,False
Lil Wayne Featuring Big Sean,['My Homies Still'],1,13,2012,2012,1,1,0,0,0,True
Drake Featuring Future,['Grammys'],1,9,2016,2016,1,1,0,0,0,True
Lil Wayne Featuring Snoop Dogg,['Dope N****z'],1,1,2018,2018,1,1,0,0,0,True
Lil Skies,['I' 'Lust'],2,8,2018,2019,2,2,0,0,0,False
Rick Ross Featuring Drake,['Gold Roses'],1,3,2019,2019,1,1,0,0,0,True
112 Featuring Mase,['Love Me'],1,16,1998,1999,2,2,0,0,0,True
Akon Featuring Lil Wayne & Young Jeezy,"[""I'm So Paid""]",1,20,2008,2009,2,2,0,0,0,True
Drake Featuring Lil Wayne & Young Jeezy,"[""I'm Going In""]",1,17,2009,2010,2,2,0,0,0,True
Chamillionaire,['Good Morning'],1,3,2009,2009,1,1,0,0,0,False
Kenny Chesney & Tim McGraw,['Feel Like A Rock Star'],1,7,2012,2012,1,1,0,0,0,False
Matthew Schuler,['Hallelujah'],1,2,2013,2013,1,1,0,0,0,False
Drake Featuring Giggs,['No Long Talk' 'KMT'],2,4,2017,2017,1,1,0,0,0,True
Buddy Holly,"['Early In The Morning' ""It Doesn't Matter Anymore"" 'Raining In My Heart'
 'Heartbeat']",4,27,1958,1959,2,2,0,0,0,False
The Righteous Brothers,"['Ebb Tide' 'Just Once In My Life' 'Rock And Roll Heaven'
 ""(You're My) Soul And Inspiration"" 'Go Ahead And Cry' 'Dream On'
 'Melancholy Music Man' 'On This Side Of Goodbye' 'Give It To The People'
 'My Babe' 'He' 'Little Latin Lupe Lu' 'Justine' 'Hung On You'
 'Georgia On My Mind' 'He Will Break Your Heart' 'Bring Your Love To Me'
 'Stranded In The Middle Of Noplace' 'You Can Have Her'
 ""You've Lost That Lovin' Feelin'"" 'Unchained Melody']",21,208,1963,1991,8,29,5,21,32,False
"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal","[""Make Em' Say Uhh!""]",1,27,1998,1998,1,1,0,0,0,False
The Lox [Featuring DMX & Lil' Kim],"['Money, Power & Respect']",1,20,1998,1998,1,1,0,0,0,True
Kenny Chesney With The Wailers,['Everybody Wants To Go To Heaven'],1,20,2008,2009,2,2,0,0,0,False
iLoveMemphis,['Hit The Quan' 'Lean & Dabb'],2,21,2015,2016,2,2,0,0,0,False
XXXTentacion Featuring Trippie Redd,['F**k Love'],1,7,2017,2017,1,1,0,0,0,True
Katy Perry Featuring Kanye West,['E.T.'],1,30,2010,2011,2,2,5,15,20,True
Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,['Oh Sweet Lorraine'],1,1,2013,2013,1,1,0,0,0,True
Fifth Harmony Featuring Gucci Mane,['Down'],1,10,2017,2017,1,1,0,0,0,True
Perry Como & The Fontane Sisters,"[""It's Beginning To Look A Lot Like Christmas""]",1,1,2018,2018,1,1,0,0,0,False
Wham!,"['Freedom' 'Last Christmas' ""I'm Your Man"" 'Everything She Wants'
 'The Edge Of Heaven' 'Where Did Your Heart Go?'
 'Wake Me Up Before You Go-Go']",7,113,1984,2019,6,36,5,14,24,False
Chef Raekwon,['Glaciers Of Ice/Criminology'],1,9,1995,1995,1,1,0,0,0,False
Spacehog,['In The Meantime'],1,20,1996,1996,1,1,0,0,0,False
Sugarland Featuring Little Big Town & Jake Owen,['Life In A Northern Town'],1,3,2008,2008,1,1,0,0,0,True
Usher Featuring Nicki Minaj,['Lil Freak' 'She Came To Give It To You'],2,18,2010,2014,2,5,0,0,0,True
Nicki Minaj Featuring Beyonce,['Feeling Myself'],1,20,2015,2015,1,1,0,0,0,True
T-Wayne,['Nasty Freestyle'],1,20,2015,2015,1,1,0,0,4,False
Khalid & Normani,['Love Lies'],1,51,2018,2019,2,2,0,0,3,False
Logic & Marshmello,['Everyday'],1,13,2018,2018,1,1,0,0,0,False
DJ Khaled Featuring SZA,['Just Us'],1,13,2019,2019,1,1,0,0,0,True
DaBaby & Nicki Minaj,['iPHONE'],1,1,2019,2019,1,1,0,0,0,False
Jan & Arnie,['Jennie Lee' 'Gas Money'],2,4,1958,1958,1,1,0,0,0,False
Stan Freberg,['Green ChriStmaS' 'The Old Payola Roll Blues (Side I)'],2,3,1958,1960,3,3,0,0,0,False
Christine McVie,['Got A Hold On Me' 'Love Will Show Us How'],2,26,1984,1984,1,1,0,0,1,False
Montell Jordan Featuring Slick Rick,"['I Like (From ""The Nutty Professor"")']",1,20,1996,1996,1,1,0,0,0,True
"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",['Get Buck In Here'],1,18,2007,2008,2,2,0,0,0,True
Charice,['Note To God'],1,1,2009,2009,1,1,0,0,0,False
Jose Feliciano,"['Feliz Navidad' 'Hi-Heel Sneakers' 'Light My Fire' 'Rain'
 'Destiny/Susie-Q' 'Hitchcock Railway' 'My World Is Empty Without You'
 'Chico And The Man' 'The Star-Spangled Banner' 'Marley Purt Drive'
 'Hey! Baby']",11,54,1968,2019,7,52,0,5,6,False
Zayn Featuring Sia,['Dusk Till Dawn'],1,16,2017,2018,2,2,0,0,0,True
Allan Sherman,"['Hello Mudduh, Hello Fadduh! (A Letter From Camp)' 'Crazy Downtown'
 'Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)'
 ""The Drinking Man's Diet""]",4,25,1963,1965,3,3,0,4,6,False
Mick Jagger,"['Just Another Night' 'Ruthless People' 'Sweet Thing' 'Lucky In Love'
 ""Let's Work"" 'Throwaway']",6,56,1985,1993,5,9,0,0,0,False
Waka Flocka Flame Featuring Roscoe Dash & Wale,['No Hands'],1,32,2010,2011,2,2,0,0,0,True
Adam Levine & Javier Colon,['Man In The Mirror'],1,1,2011,2011,1,1,0,0,0,False
2 Chainz Featuring Drake,['No Lie'],1,26,2012,2012,1,1,0,0,0,True
Romeo Santos Featuring Drake,['Odio'],1,11,2014,2014,1,1,0,0,0,True
Drake Featuring Jorja Smith & Black Coffee,['Get It Together'],1,2,2017,2017,1,1,0,0,0,True
Queen Naija,['Medicine' 'Karma'],2,22,2018,2018,1,1,0,0,0,False
John & Yoko/The Plastic Ono Band With The Harlem Community Choir,['Happy Xmas (War Is Over)'],1,2,2018,2019,2,2,0,0,0,False
Kanye West Featuring Sunday Service Choir,['Every Hour'],1,1,2019,2019,1,1,0,0,0,True
Arcadia,['Election Day' 'Goodbye Is Forever'],2,26,1985,1986,2,2,0,0,6,False
The Game,"[""Let's Ride"" 'Dreams']",2,18,2005,2006,2,2,0,0,0,False
Michael Buble,"['Everything' 'Hollywood' ""Haven't Met You Yet"" ""It's A Beautiful Day""
 ""It's Beginning To Look A Lot Like Christmas"" 'Lost' 'Home'
 'Save The Last Dance For Me' 'All I Want For Christmas Is You']",9,91,2005,2013,8,9,0,0,0,False
