SongID,year,comboWeek,comboInstance,maxPose,top1,top5,top10
2UDavid Guetta Featuring Justin Bieber,2017,11,1,16,0,0,0
Don't Take Your LoveThe Manhattans,1975,10,1,37,0,0,0
Don't Talk Just KissRight Said Fred,1992,7,1,76,0,0,0
Don't Talk To StrangersRick Springfield,1982,21,1,2,0,8,11
Don't Talk To StrangersThe Beau Brummels,1965,8,1,52,0,0,0
Don't TalkJon B,2001,14,1,58,0,0,0
Don't TalkLarry Lee,1982,2,1,81,0,0,0
Don't Tell 'EmJeremih Featuring YG,2014,31,1,6,0,0,8
Don't Tell Me GoodnightLobo,1975,9,1,27,0,0,0
Don't Tell Me LiesBreathe,1989,16,1,10,0,0,1
Don't Tell Me The TimeMartha Davis,1987,8,1,80,0,0,0
Don't Tell Me You Love MeNight Ranger,1983,11,1,40,0,0,0
Don't Tell Me Your TroublesDon Gibson,1959,3,2,85,0,0,0
Don't Tell MeAvril Lavigne,2004,20,1,22,0,0,0
Don't Tell MeMadonna,2000,21,1,4,0,2,8
StillBill Anderson,1963,15,1,8,0,0,3
Coming Home SoldierBobby Vinton,1966,12,1,11,0,0,0
She's Not Just Another WomanThe 8th Day,1971,13,1,11,0,0,0
Saturday NightBay City Rollers,1975,17,1,1,1,5,6
Pop MuzikM,1979,24,1,1,1,4,9
CarrieEurope,1987,19,1,3,0,3,5
CasanovaLevert,1987,18,1,5,0,1,4
"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")Joe",1996,20,1,11,0,0,0
Party LightsClaudine Clark,1962,15,1,5,0,1,3
CandidaDawn,1970,18,1,3,0,2,8
Only The YoungJourney,1985,16,1,9,0,0,1
St. Elmo's Fire (Man In Motion)John Parr,1985,22,1,1,2,5,7
Crush On YouThe Jets,1986,20,1,3,0,3,5
Take Your Time (Do It Right) Part 1The S.O.S. Band,1980,21,1,3,0,4,7
Self ControlLaura Branigan,1984,25,1,4,0,3,6
1-2-3Gloria Estefan & Miami Sound Machine,1988,19,1,3,0,2,5
All Night LongFaith Evans Featuring Puff Daddy,1999,19,1,9,0,0,2
Dance MonkeyTones And I,2019,11,1,9,0,0,1
Broken WingsMr. Mister,1985,22,1,1,2,5,9
Beast Of BurdenThe Rolling Stones,1978,13,1,8,0,0,2
CenterfoldThe J. Geils Band,1981,25,1,1,6,10,12
Do You Feel Like We DoPeter Frampton,1976,18,1,10,0,0,2
Run It!Chris Brown,2005,38,1,1,5,15,17
Paperback WriterThe Beatles,1966,10,1,1,2,4,5
Penny LaneThe Beatles,1967,10,1,1,1,4,5
AmericansByron MacGregor,1974,12,1,4,0,2,4
One Fine DayThe Chiffons,1963,10,1,5,0,1,4
Bobby Sox To StockingsFrankie Avalon,1959,13,1,8,0,0,1
Be My GuestFats Domino,1959,14,1,8,0,0,2
A Song For MamaBoyz II Men,1997,20,1,7,0,0,6
That's Old Fashioned (That's The Way Love Should Be)The Everly Brothers,1962,11,1,9,0,0,1
Doin ItLL Cool J,1996,20,1,9,0,0,1
Blow Me (One Last Kiss)P!nk,2012,27,1,5,0,3,11
Devoted To YouThe Everly Brothers,1958,14,1,10,0,0,1
Call Me When You're SoberEvanescence,2006,22,1,10,0,0,1
Don't Forget About UsMariah Carey,2005,21,1,1,2,5,8
Baby Sittin' BoogieBuzz Clifford,1961,14,1,6,0,0,3
And I Love HerThe Beatles,1964,9,1,12,0,0,0
Single GirlSandy Posey,1966,12,1,12,0,0,0
Suzie Q. (Part One)Creedence Clearwater Revival,1968,12,1,11,0,0,0
Play MeNeil Diamond,1972,11,1,11,0,0,0
Saturday Night's Alright For FightingElton John,1973,12,1,12,0,0,0
The Beatles' Movie MedleyThe Beatles,1982,11,1,12,0,0,0
All RightChristopher Cross,1983,16,1,12,0,0,0
"C U When U Get There (From ""Nothing To Lose"")Coolio Featuring 40 Thevz",1997,20,1,12,0,0,0
"Shake Ya TailfeatherNelly, P. Diddy & Murphy Lee",2003,30,1,1,4,11,12
Can't Hold Us DownChristina Aguilera Featuring Lil' Kim,2003,20,1,12,0,0,0
ShawtyPlies Featuring T-Pain,2007,22,1,9,0,0,5
She WolfShakira,2009,20,1,11,0,0,0
Bank Account21 Savage,2017,28,1,12,0,0,0
Asia MinorKokomo,1961,14,1,8,0,0,1
"Baby, Now That I've Found YouThe Foundations",1967,13,1,11,0,0,0
Spirits In The Material WorldThe Police,1982,13,1,11,0,0,0
Pink HousesJohn Mellencamp,1983,16,1,8,0,0,2
1979The Smashing Pumpkins,1996,22,1,12,0,0,0
A Little Bitty TearBurl Ives,1961,15,1,9,0,0,2
Close To CathyMike Clifford,1962,13,1,12,0,0,0
Chug-A-LugRoger Miller,1964,13,1,9,0,0,2
Ask MeElvis Presley With The Jordanaires,1964,12,1,12,0,0,0
Take It EasyEagles,1972,11,1,12,0,0,0
Swearin' To GodFrankie Valli,1975,14,1,6,0,0,3
Count On MeJefferson Starship,1978,14,1,8,0,0,4
Dirty White BoyForeigner,1979,14,1,12,0,0,0
Cum On Feel The NoizeQuiet Riot,1983,21,1,5,0,2,5
Simply IrresistibleRobert Palmer,1988,20,1,2,0,5,6
SomedaySugar Ray,1999,32,1,7,0,0,7
SwitchWill Smith,2005,28,1,7,0,0,5
Don't Be CruelBill Black's Combo,1960,13,1,11,0,0,0
That's The Way Love IsMarvin Gaye,1969,12,1,7,0,0,1
Angel Of The MorningJuice Newton,1981,22,1,4,0,5,6
AutomaticThe Pointer Sisters,1984,20,1,5,0,1,6
That Was YesterdayForeigner,1985,15,1,12,0,0,0
CherishKool & The Gang,1985,25,1,2,0,4,7
SlamOnyx,1993,20,1,4,0,4,6
Pimpin' All Over The WorldLudacris Featuring Bobby Valentino,2005,20,1,9,0,0,3
(i've Been) Searchin' So LongChicago,1974,15,1,9,0,0,3
Stop And Smell The RosesMac Davis,1974,14,1,9,0,0,2
Deeper Than The NightOlivia Newton-John,1979,13,1,11,0,0,0
RiseHerb Alpert,1979,25,1,1,2,8,9
Run To YouBryan Adams,1984,19,1,6,0,0,4
Return Of The MackMark Morrison,1997,40,1,2,0,11,15
See The Funny Little ClownBobby Goldsboro,1964,13,1,9,0,0,2
She's Out Of My LifeMichael Jackson,1980,16,1,10,0,0,2
Suddenly Last SummerThe Motels,1983,20,1,9,0,0,2
RoniBobby Brown,1989,17,1,3,0,2,4
Release MeWilson Phillips,1990,22,1,1,2,5,7
PlaygroundAnother Bad Creation,1991,17,1,10,0,0,1
Ride Wit MeNelly Featuring City Spud,2001,29,1,3,0,9,12
RoyalsLorde,2013,44,1,1,9,18,23
16 CandlesThe Crests,1958,21,1,2,0,7,8
Don't Play That Song (You Lied)Ben E. King,1962,12,1,11,0,0,0
A Summer SongChad & Jeremy,1964,14,1,7,0,0,3
Pata PataMiriam Makeba,1967,11,1,12,0,0,0
Don't Know MuchLinda Ronstadt (Featuring Aaron Neville),1989,26,1,2,0,6,8
Dirt Off Your ShoulderJAY-Z,2004,26,1,5,0,1,7
One Night In BangkokMurray Head,1985,20,1,3,0,3,6
Ass Back HomeGym Class Heroes Featuring Neon Hitch,2011,23,1,12,0,0,0
Black VelvetAlannah Myles,1990,24,1,1,2,5,7
Tell MeGroove Theory,1995,33,1,5,0,3,7
ButterflyCrazy Town,2001,23,1,1,2,6,8
Puttin' On The RitzTaco,1983,21,1,4,0,3,6
Poker FaceLady Gaga,2009,40,1,1,1,15,18
Pleasant Valley SundayThe Monkees,1967,10,1,3,0,3,5
Can't You See That She's MineThe Dave Clark Five,1964,10,1,4,0,2,4
Don't Sleep In The SubwayPetula Clark,1967,10,1,5,0,2,3
Ayo Technology50 Cent Featuring Justin Timberlake & Timbaland,2007,20,1,5,0,1,2
"RonnieThe 4 Seasons Featuring the ""Sound of Frankie Valli""",1964,10,1,6,0,0,4
Take These Chains From My HeartRay Charles,1963,11,1,8,0,0,1
(I Know) I'm Losing YouThe Temptations,1966,10,1,8,0,0,2
Show Me What You GotJAY-Z,2006,15,1,8,0,0,1
Stairway To HeavenNeil Sedaka,1960,15,1,9,0,0,1
"Tell It To The RainThe 4 Seasons Featuring the ""Sound of Frankie Valli""",1966,10,1,10,0,0,1
Please Remember MeTim McGraw,1999,20,1,10,0,0,1
Pineapple PrincessAnnette With The Afterbeats,1960,14,1,11,0,0,0
Cry Me A RiverJoe Cocker,1970,9,1,11,0,0,0
Don't Bring Me DownThe Animals,1966,10,1,12,0,0,0
"That Sunday, That SummerNat King Cole",1963,13,1,12,0,0,0
Sha La LaManfred Mann,1964,12,1,12,0,0,0
"634-5789 (Soulsville, U.S.A.)Wilson Pickett",1966,11,1,13,0,0,0
The 59th Street Bridge Song (Feelin' Groovy)Harpers Bizarre,1967,11,1,13,0,0,0
Thank The Lord For The Night TimeNeil Diamond,1967,11,1,13,0,0,0
Stay In My CornerThe Dells,1968,13,1,10,0,0,3
Sweet BlindnessThe 5th Dimension,1968,10,1,13,0,0,0
Share Your Love With MeAretha Franklin,1969,10,1,13,0,0,0
Something Better To DoOlivia Newton-John,1975,11,1,13,0,0,0
Comin' In And Out Of Your LifeBarbra Streisand,1981,16,1,11,0,0,0
Do I DoStevie Wonder,1982,14,1,13,0,0,0
Doctor! Doctor!Thompson Twins,1984,16,1,11,0,0,0
Smooth CriminalMichael Jackson,1988,15,1,7,0,0,3
OneU2,1992,20,1,10,0,0,1
Rock And Roll Dreams Come ThroughMeat Loaf,1994,20,1,13,0,0,0
Big Poppa/WarningThe Notorious B.I.G.,1995,24,1,6,0,0,7
She BangsRicky Martin,2000,18,1,12,0,0,0
Please Love Me ForeverCathy Jean and The Roommates,1961,12,1,12,0,0,0
She CriedJay & The Americans,1962,14,1,5,0,1,3
Ain't Too Proud To BegThe Temptations,1966,13,1,13,0,0,0
Over Under Sideways DownThe Yardbirds,1966,11,1,13,0,0,0
Reflections Of My LifeThe Marmalade,1970,15,1,10,0,0,3
(Theme From) Love StoryHenry Mancini And His Orchestra,1971,11,1,13,0,0,0
Can't Stop Dancin'Captain & Tennille,1977,12,1,13,0,0,0
American StormBob Seger,1986,14,1,13,0,0,0
Didn't I (Blow Your Mind)New Kids On The Block,1989,19,1,8,0,0,2
Don't CryGuns N' Roses,1991,20,1,10,0,0,2
People EverydayArrested Development,1992,23,1,8,0,0,4
"Baby I Love Your Way (From ""Reality Bites"")Big Mountain",1994,28,1,6,0,0,9
Boom ClapCharli XCX,2014,25,1,8,0,0,4
Cherry PieSkip And Flip,1960,15,1,11,0,0,0
A Swingin' SafariBilly Vaughn And His Orchestra,1962,12,1,13,0,0,0
Dear Lonely HeartsNat King Cole,1962,11,1,13,0,0,0
Our Winter LoveBill Pursell,1963,14,1,9,0,0,1
Red Roses For A Blue LadyBert Kaempfert And His Orchestra,1965,13,1,11,0,0,0
Super Bad (Part 1 & Part 2)James Brown,1970,10,1,13,0,0,0
One Of A Kind (Love Affair)The Spinners,1973,15,1,11,0,0,0
"Sing A SongEarth, Wind & Fire",1975,17,1,5,0,2,4
Copacabana (at The Copa)Barry Manilow,1978,16,1,8,0,0,2
Ready To Take A Chance AgainBarry Manilow,1978,16,1,11,0,0,0
Shine A Little LoveElectric Light Orchestra,1979,15,1,8,0,0,3
Can't Cry AnymoreSheryl Crow,1995,18,1,36,0,0,0
Summer NightsRascal Flatts,2009,18,1,37,0,0,0
Stranger In My HouseTamia,2001,21,1,10,0,0,2
"Do What You Want, Be What You AreDaryl Hall John Oates",1976,15,1,39,0,0,0
A Penny For Your ThoughtsTavares,1982,21,1,33,0,0,0
Burning HeartVandenberg,1983,14,1,39,0,0,0
Don't Happen TwiceKenny Chesney,2001,20,1,26,0,0,0
SidewaysDierks Bentley,2009,20,1,35,0,0,0
